Caltrans District ID Number,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,South or Westbound Peak Hour,South or Westbound Peak Month,South or Westbound Annual Average Daily Traffic (AADT),North or Eastbound Peak Hour,North or Eastbound Peak Month,North or Eastbound Annual Average Daily Traffic (AADT),Location
1,1,,Mendocino,,0,,SONOMA/MENDOCINO COUNTY LINE,,,,340,3350,2850,"(38.7597982, -123.5184323)"
1,1,,Mendocino,,1.02,,NORTH LIMITS GUALALA,570,5200,4300,350,3400,2550,"(38.77007012, -123.5319102)"
1,1,,Mendocino,,5.09,,FISH ROCK ROAD,350,3400,2550,260,2650,2000,"(38.80354931, -123.5854077)"
1,1,,Mendocino,,14.692,,"POINT ARENA, SOUTH CITY LIMITS",240,2450,2000,240,2450,2000,"(38.90394328, -123.6915451)"
1,1,,Mendocino,,15.18,,"POINT ARENA, RIVERSIDE DRIVE",390,4000,3200,320,3350,2650,"(38.91091252, -123.6924099)"
1,1,,Mendocino,,15.74,,"POINT ARENA, LAKE STREET",320,3350,2650,260,2600,2150,"(38.91435452, -123.7010269)"
1,1,,Mendocino,,16.166,,"POINT ARENA, NORTH CITY LIMITS",260,2600,2150,260,2600,2150,"(38.91817219, -123.7057479)"
1,1,,Mendocino,,19.34,,"MOUNTAIN VIEW ROAD, MANCHESTER, SOUTH",220,2200,1850,230,1950,1650,"(38.95126113, -123.6904071)"
1,1,,Mendocino,,34.9,,NORTH LIMITS ELK,150,1300,1100,150,1350,1100,"(39.13903378, -123.7243321)"
1,1,,Mendocino,,40.273,,JCT. RTE. 128 EAST,150,1350,1100,450,4000,3200,"(39.19753627, -123.7466641)"
1,1,,Mendocino,,47.5,,"LITTLE RIVER, AIRPORT ROAD",450,4000,3200,720,7600,6200,"(39.26816252, -123.7865649)"
1,1,,Mendocino,,50.04,,COMPTCHE/UKIAH ROADS,720,7600,6200,820,8500,6800,"(39.29972466, -123.7939728)"
1,1,,Mendocino,R,50.56,,"MENDOCINO, JACKSON STREET",720,7700,6000,720,7700,6000,"(39.30661286, -123.7934546)"
1,1,,Mendocino,R,51.49,,"MENDOCINO, LANSING STREET",970,9900,7900,1550,15600,12200,"(39.31885095, -123.7996619)"
1,1,,Mendocino,R,55.78,,NORTH LIMITS CASPAR,1300,12900,10100,1350,13800,10800,"(39.37228032, -123.8152306)"
1,1,,Mendocino,,57.22,,GIBNEY LANE,1350,13800,10800,1400,14000,11100,"(39.3833334, -123.8139332)"
1,1,,Mendocino,,59.25,,SIMPSON LANE,1400,14000,11100,2050,21500,18300,"(39.41244221, -123.8084013)"
